year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,6,1,2,2359,3,341,350,-9,B6,739,N618JB,JFK,PSE,200,1617,23,59,2013-06-02T03:00:00Z
2013,6,1,451,500,-9,624,640,-16,US,1431,N538UW,EWR,CLT,75,529,5,0,2013-06-01T09:00:00Z
2013,6,1,506,515,-9,715,800,-45,UA,1686,N35407,EWR,IAH,172,1400,5,15,2013-06-01T09:00:00Z
2013,6,1,534,545,-11,800,829,-29,UA,1451,N27724,LGA,IAH,178,1416,5,45,2013-06-01T09:00:00Z
2013,6,1,538,545,-7,925,922,3,B6,725,N806JB,JFK,BQN,203,1576,5,45,2013-06-01T09:00:00Z
2013,6,1,539,540,-1,832,840,-8,AA,701,N5EAAA,JFK,MIA,140,1089,5,40,2013-06-01T09:00:00Z
2013,6,1,546,600,-14,850,910,-20,UA,540,N492UA,EWR,RSW,148,1068,6,0,2013-06-01T10:00:00Z
2013,6,1,551,600,-9,828,850,-22,AA,707,N3EUAA,LGA,DFW,196,1389,6,0,2013-06-01T10:00:00Z
2013,6,1,552,600,-8,647,655,-8,US,1911,N946UW,LGA,PHL,34,96,6,0,2013-06-01T10:00:00Z
2013,6,1,553,600,-7,700,711,-11,EV,5716,N835AS,JFK,IAD,42,228,6,0,2013-06-01T10:00:00Z
2013,6,1,554,600,-6,851,908,-17,UA,1159,N33132,JFK,LAX,330,2475,6,0,2013-06-01T10:00:00Z
2013,6,1,554,600,-6,829,854,-25,B6,371,N562JB,LGA,FLL,137,1076,6,0,2013-06-01T10:00:00Z
2013,6,1,555,605,-10,838,910,-32,AA,1837,N3BPAA,LGA,MIA,142,1096,6,5,2013-06-01T10:00:00Z
2013,6,1,555,600,-5,821,835,-14,B6,517,N648JB,EWR,MCO,118,937,6,0,2013-06-01T10:00:00Z
2013,6,1,557,600,-3,934,942,-8,B6,715,N766JB,JFK,SJU,198,1598,6,0,2013-06-01T10:00:00Z
2013,6,1,557,600,-3,808,826,-18,DL,461,N687DL,LGA,ATL,109,762,6,0,2013-06-01T10:00:00Z
2013,6,1,557,600,-3,657,715,-18,WN,2213,N959WN,EWR,MDW,101,711,6,0,2013-06-01T10:00:00Z
2013,6,1,557,600,-3,803,815,-12,FL,345,N353AT,LGA,ATL,109,762,6,0,2013-06-01T10:00:00Z
2013,6,1,558,600,-2,832,900,-28,UA,574,N849UA,EWR,MIA,142,1085,6,0,2013-06-01T10:00:00Z
2013,6,1,558,600,-2,705,712,-7,EV,5747,N820AS,LGA,IAD,46,229,6,0,2013-06-01T10:00:00Z
2013,6,1,559,600,-1,842,900,-18,UA,1170,N47414,EWR,FLL,148,1065,6,0,2013-06-01T10:00:00Z
2013,6,1,559,600,-1,856,930,-34,UA,303,N512UA,JFK,SFO,335,2586,6,0,2013-06-01T10:00:00Z
2013,6,1,559,600,-1,739,753,-14,DL,731,N363NB,LGA,DTW,75,502,6,0,2013-06-01T10:00:00Z
2013,6,1,559,600,-1,658,656,2,US,1149,N764US,LGA,PHL,33,96,6,0,2013-06-01T10:00:00Z
2013,6,1,600,605,-5,727,735,-8,MQ,4518,N852MQ,LGA,RDU,63,431,6,5,2013-06-01T10:00:00Z
2013,6,1,603,608,-5,833,904,-31,UA,1627,N76505,EWR,PBI,134,1023,6,8,2013-06-01T10:00:00Z
2013,6,1,603,610,-7,745,807,-22,DL,1919,N972DL,LGA,MSP,144,1020,6,10,2013-06-01T10:00:00Z
2013,6,1,606,610,-4,847,906,-19,B6,315,N638JB,JFK,FLL,140,1069,6,10,2013-06-01T10:00:00Z
2013,6,1,607,600,7,853,913,-20,UA,1131,N12218,EWR,LAX,329,2454,6,0,2013-06-01T10:00:00Z
2013,6,1,608,609,-1,708,723,-15,EV,4160,N16151,EWR,IAD,42,212,6,9,2013-06-01T10:00:00Z
2013,6,1,609,615,-6,759,808,-9,US,1125,N709UW,JFK,CLT,73,541,6,15,2013-06-01T10:00:00Z
2013,6,1,609,615,-6,852,915,-23,AA,1895,N3ELAA,EWR,MIA,140,1085,6,15,2013-06-01T10:00:00Z
2013,6,1,610,629,-19,740,820,-40,US,874,N108UW,EWR,CLT,69,529,6,29,2013-06-01T10:00:00Z
2013,6,1,614,605,9,844,857,-13,UA,1115,N17229,EWR,TPA,133,997,6,5,2013-06-01T10:00:00Z
2013,6,1,614,600,14,829,845,-16,UA,483,N475UA,EWR,MCO,117,937,6,0,2013-06-01T10:00:00Z
2013,6,1,615,610,5,837,847,-10,B6,79,N216JB,JFK,MCO,124,944,6,10,2013-06-01T10:00:00Z
2013,6,1,619,630,-11,727,805,-38,AA,303,N4XPAA,LGA,ORD,108,733,6,30,2013-06-01T10:00:00Z
2013,6,1,622,628,-6,919,1000,-41,UA,421,N825UA,EWR,SFO,339,2565,6,28,2013-06-01T10:00:00Z
2013,6,1,622,627,-5,846,900,-14,B6,203,N565JB,JFK,LAS,305,2248,6,27,2013-06-01T10:00:00Z
2013,6,1,623,630,-7,816,835,-19,US,1100,N539UW,LGA,CLT,81,544,6,30,2013-06-01T10:00:00Z
2013,6,1,623,630,-7,837,906,-29,B6,389,N652JB,LGA,MCO,117,950,6,30,2013-06-01T10:00:00Z
2013,6,1,624,600,24,727,720,7,MQ,3768,N9EAMQ,EWR,ORD,104,719,6,0,2013-06-01T10:00:00Z
2013,6,1,624,625,-1,856,920,-24,WN,853,N478WN,EWR,HOU,187,1411,6,25,2013-06-01T10:00:00Z
2013,6,1,626,630,-4,900,916,-16,B6,27,N593JB,JFK,TPA,131,1005,6,30,2013-06-01T10:00:00Z
2013,6,1,626,630,-4,835,843,-8,DL,575,N344NB,EWR,ATL,106,746,6,30,2013-06-01T10:00:00Z
2013,6,1,628,630,-2,735,747,-12,B6,2,N317JB,JFK,BUF,56,301,6,30,2013-06-01T10:00:00Z
2013,6,1,628,630,-2,755,815,-20,WN,1404,N8328A,LGA,STL,126,888,6,30,2013-06-01T10:00:00Z
2013,6,1,629,630,-1,743,800,-17,B6,905,N266JB,JFK,ORD,112,740,6,30,2013-06-01T10:00:00Z
2013,6,1,632,630,2,738,745,-7,EV,4179,N12540,EWR,BOS,44,200,6,30,2013-06-01T10:00:00Z
2013,6,1,635,640,-5,837,849,-12,EV,4451,N24128,EWR,IND,92,645,6,40,2013-06-01T10:00:00Z
2013,6,1,637,645,-8,903,908,-5,US,654,N509AY,JFK,PHX,294,2153,6,45,2013-06-01T10:00:00Z
2013,6,1,637,640,-3,1021,1040,-19,AA,413,N3ANAA,JFK,SJU,199,1598,6,40,2013-06-01T10:00:00Z
2013,6,1,638,635,3,855,905,-10,DL,27,N945DL,JFK,ATL,106,760,6,35,2013-06-01T10:00:00Z
2013,6,1,638,630,8,741,746,-5,EV,4533,N11547,EWR,BUF,49,282,6,30,2013-06-01T10:00:00Z
